query_id,query,topic,style,relevant_concepts,relevant_total,bm25_precision_at_k,bm25_recall_at_k,bm25_ndcg_at_k,bm25_average_precision,bm25_seconds,vector_precision_at_k,vector_recall_at_k,vector_ndcg_at_k,vector_average_precision,vector_seconds,bm25_top_docs,vector_top_docs,note
Q01,retrieve case documents that express the same idea in other words,legal_tech,semantic,semantic_search,3,0.0,0.0,0.04271813984093299,0.04409801678108314,0.0009637999992264668,0.0,0.0,0.028478759893955326,0.007575757575757576,0.0003895999998348998,"D01951,D00415,D00599,D00839,D01703,D01527,D01095,D00567,D00119,D00959","D00551,D00567,D01087,D01007,D00311,D01455,D01791,D00855,D01247,D01071",Paraphrase of semantic retrieval; should favor embeddings over keywords.
Q02,precedent search across court decisions and case law,legal_tech,mixed,citation_retrieval,10,0.7,0.7,0.8363737201414463,0.5833333333333333,0.0013959999996586703,0.1,0.1,0.44403147940860077,0.19009462759462759,0.0003515999997034669,"D00247,D01127,D00959,D01495,D00815,D01447,D01159,D00975,D00999,D01031","D01727,D00143,D00895,D00855,D00959,D01159,D00999,D01143,D01127,D01791",Domain-specific legal lookup with partly exact vocabulary.
Q03,bm25 keyword matching and term frequency scoring over the catalog,recommender_systems,lexical,bm25,9,0.1,0.1111111111111111,0.4067073314262591,0.1561358593616658,0.0006689999991067452,0.5,0.5555555555555556,0.7725107435897188,0.5360210106586919,0.00040129999979399145,"D00884,D00316,D01948,D01399,D01015,D00732,D01439,D00492,D00871,D00100","D01020,D01628,D01924,D00036,D01492,D00428,D00316,D00012,D00252,D00100",Lexical control query: exact BM25 vocabulary.
Q04,hospital emergency assessment and patient triage routing,healthcare_ai,lexical,patient_triage,15,0.8,0.5333333333333333,0.8760121493430878,0.7578957462290796,0.0005125999996380415,0.4,0.26666666666666666,0.6952241838546666,0.33783150936139544,0.000398000000132015,"D01896,D01368,D01928,D00520,D00984,D00192,D01112,D00960,D01824,D01472","D01896,D01984,D00344,D00224,D00448,D00464,D00520,D00328,D01632,D01960",
Q05,reading and interpreting radiology scans for diagnosis,healthcare_ai,semantic,medical_imaging,11,0.2,0.18181818181818182,0.5586167518760848,0.18642085883465195,0.00025129999994533136,0.2,0.18181818181818182,0.5991371630152889,0.1719654751852894,0.00038299999869195744,"D00880,D00176,D00152,D01824,D00776,D01544,D00360,D00704,D00512,D00496","D00128,D01376,D00888,D01664,D00832,D00072,D01000,D00704,D00288,D01016",Imaging concept paraphrased; diagnosis domain term anchors BM25.
Q06,spotting rare unusual events in network traffic,cybersecurity,semantic,anomaly_detection,7,0.3,0.42857142857142855,0.33220853858443566,0.17949735449735452,0.0007601999986945884,0.1,0.14285714285714285,0.5202961595477287,0.22380952380952382,0.0008610000004409812,"D01346,D01546,D00786,D00730,D00538,D00610,D00834,D00490,D00266,D01634","D00538,D00010,D01162,D01562,D00563,D00259,D01090,D00650,D00162,D00389","Anomaly detection expressed by meaning, not the exact phrase."
Q07,intrusion monitoring and malware campaign analysis on endpoints,cybersecurity,lexical,cyber_threat,12,0.1,0.08333333333333333,0.44599638655528984,0.049751984126984124,0.0013091000000713393,0.3,0.25,0.5720547731954173,0.3118433445603723,0.0003961000002163928,"D01402,D00778,D00690,D00330,D01754,D00866,D01114,D01778,D00698,D01850","D01850,D00298,D01754,D01538,D01146,D00570,D01402,D01898,D01778,D00386",
Q08,suspicious transaction screening for payment abuse,finance_risk,lexical,fraud_detection,11,0.1,0.09090909090909091,0.5074182703685235,0.11805194805194806,0.0003766999998333631,0.2,0.18181818181818182,0.529314346630531,0.15506816415907326,0.00040580000131740235,"D00675,D01891,D01475,D01651,D01219,D00379,D01267,D01275,D01075,D00939","D00779,D01267,D00675,D01331,D01219,D01595,D00971,D00379,D00459,D01963",
Q09,credit default probability estimation and risk scoring,finance_risk,lexical,risk_scoring,14,0.5,0.35714285714285715,0.7784283510183809,0.5029173258016425,0.0005670000009558862,0.7,0.5,0.8820480387228063,0.6323232729655298,0.0003625999997893814,"D01251,D00995,D01611,D01987,D01411,D00515,D00739,D01195,D01427,D00891","D01251,D01611,D00995,D01987,D01411,D00147,D01427,D00883,D00483,D00955",
Q10,predicting how much power renewable plants will produce,climate_energy,semantic,energy_forecasting,11,0.2,0.18181818181818182,0.5751640493784796,0.2689457601222307,0.0001495000014983816,0.4,0.36363636363636365,0.6307888989534379,0.3718144305610755,0.0006733000009262469,"D01329,D01185,D00049,D01897,D01009,D00817,D00281,D00961,D01409,D00489","D01617,D00801,D00313,D01753,D01561,D01265,D00273,D00329,D01137,D01329",Energy forecasting paraphrased; renewable domain term anchors BM25.
